Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Kodiak Island,,Male,Black
AK,Lake and Peninsula,,Male,Black
AK,Matanuska-Susitna,295.5,Male,Black
AK,Nome,,Male,Black
CA,California,419.4,Overall,Black
AK,North Slope,,Male,Black
AK,Northwest Arctic,,Male,Black
AK,Prince of Wales-Outer Ketchikan,,Male,Black
AK,Sitka,,Male,Black
AK,Skagway-Hoonah-Angoon,,Male,Black
AK,Southeast Fairbanks,,Male,Black
AK,Valdez-Cordova,299.1,Male,Black
AK,Wade Hampton,,Male,Black
AK,Wrangell-Petersburg,,Male,Black
AK,Yakutat,,Male,Black
AK,Yukon-Koyukuk,,Male,Black
AK,Aleutians East,,Female,Black
AK,Aleutians West,,Female,Black
AK,Anchorage,149.2,Female,Black
AK,Bethel,,Female,Black
AK,Bristol Bay,,Female,Black
AK,Denali,,Female,Black
AK,Dillingham,,Female,Black
AK,Fairbanks North Star,,Female,Black
AK,Haines,,Female,Black
AK,Juneau,,Female,Black
AK,Kenai Peninsula,,Female,Black
AK,Ketchikan Gateway,,Female,Black
AK,Kodiak Island,,Female,Black
AK,Lake and Peninsula,,Female,Black
AK,Matanuska-Susitna,,Female,Black
AK,Nome,,Female,Black
AK,North Slope,,Female,Black
AK,Northwest Arctic,,Female,Black
AK,Prince of Wales-Outer Ketchikan,,Female,Black
AK,Sitka,,Female,Black
AK,Skagway-Hoonah-Angoon,,Female,Black
AK,Southeast Fairbanks,,Female,Black
AK,Valdez-Cordova,,Female,Black
AK,Wade Hampton,,Female,Black
AK,Wrangell-Petersburg,,Female,Black
AK,Yakutat,,Female,Black
AK,Yukon-Koyukuk,,Female,Black
AK,Aleutians East,,Overall,Hispanic
AK,Aleutians West,,Overall,Hispanic
AK,Anchorage,98.7,Overall,Hispanic
AK,Bethel,,Overall,Hispanic
AK,Bristol Bay,,Overall,Hispanic
AK,Denali,,Overall,Hispanic
AK,Dillingham,,Overall,Hispanic
AK,Fairbanks North Star,153.3,Overall,Hispanic
AK,Haines,,Overall,Hispanic
AK,Juneau,,Overall,Hispanic
AK,Kenai Peninsula,79.4,Overall,Hispanic
AK,Ketchikan Gateway,,Overall,Hispanic
AK,Kodiak Island,,Overall,Hispanic
AK,Lake and Peninsula,,Overall,Hispanic
AK,Matanuska-Susitna,60.6,Overall,Hispanic
AK,Nome,,Overall,Hispanic
AK,North Slope,,Overall,Hispanic
AK,Northwest Arctic,,Overall,Hispanic
AK,Prince of Wales-Outer Ketchikan,,Overall,Hispanic
AK,Sitka,,Overall,Hispanic
AK,Skagway-Hoonah-Angoon,,Overall,Hispanic
AK,Southeast Fairbanks,,Overall,Hispanic
AK,Valdez-Cordova,180.5,Overall,Hispanic
AK,Wade Hampton,,Overall,Hispanic
AK,Wrangell-Petersburg,,Overall,Hispanic
AK,Yakutat,,Overall,Hispanic
AK,Yukon-Koyukuk,,Overall,Hispanic
AK,Aleutians East,,Male,Hispanic
AK,Aleutians West,,Male,Hispanic
AK,Anchorage,136.2,Male,Hispanic
AK,Bethel,,Male,Hispanic
AK,Bristol Bay,,Male,Hispanic
AK,Denali,,Male,Hispanic
AK,Dillingham,,Male,Hispanic
AK,Fairbanks North Star,,Male,Hispanic
AK,Haines,,Male,Hispanic
AK,Juneau,,Male,Hispanic
AK,Kenai Peninsula,,Male,Hispanic
AK,Ketchikan Gateway,,Male,Hispanic
AK,Kodiak Island,,Male,Hispanic
AK,Lake and Peninsula,,Male,Hispanic
AK,Matanuska-Susitna,,Male,Hispanic
AK,Nome,,Male,Hispanic
AK,North Slope,,Male,Hispanic
AK,Northwest Arctic,,Male,Hispanic
AK,Prince of Wales-Outer Ketchikan,,Male,Hispanic
AK,Sitka,,Male,Hispanic
AK,Skagway-Hoonah-Angoon,,Male,Hispanic
AK,Southeast Fairbanks,,Male,Hispanic
AK,Valdez-Cordova,,Male,Hispanic
AK,Wade Hampton,,Male,Hispanic
